,run,accuracy,roc_auc,FNR,FPR,accuracy_diff,roc_auc_diff,FNR_diff,FPR_diff,beta2,beta2_pvalue,accuracy_corrected,roc_auc_corrected,FNR_corrected,FPR_corrected,accuracy_corrected_diff,roc_auc_corrected_diff,FNR_corrected_diff,FPR_corrected_diff
0,0,0.8794642857142857,0.9404904545091461,0.11214953271028037,0.1282051282051282,0.02857142857142858,0.006185085774302879,-0.148989898989899,0.009627727856225926,-0.10916074087488596,0.28568860772083804,0.8794642857142857,0.9404904545091461,0.11214953271028037,0.1282051282051282,0.02857142857142858,0.006185085774302879,-0.148989898989899,0.009627727856225926
1,1,0.8571428571428571,0.9237958303378865,0.14953271028037382,0.13675213675213677,-0.04615939415795167,-0.06403781403781417,0.16161616161616163,0.01282051282051283,-0.10368817066685614,0.31036317975434824,0.8571428571428571,0.9237958303378865,0.14953271028037382,0.13675213675213677,-0.04615939415795167,-0.06403781403781417,0.16161616161616163,0.01282051282051283
2,2,0.875,0.9281891524882178,0.12149532710280374,0.1282051282051282,-0.05048683736025961,-0.040433872204314825,-0.00412087912087912,0.08664666166541635,-0.201533053250139,0.05515208747238587,0.875,0.9281891524882178,0.12149532710280374,0.1282051282051282,-0.05048683736025961,-0.040433872204314825,-0.00412087912087912,0.08664666166541635
3,3,0.8660714285714286,0.919242751018452,0.11214953271028037,0.15384615384615385,-0.09186991869918704,-0.03040458937198065,-0.10217391304347827,0.21388888888888888,0.0637459156530314,0.5481086128905619,0.8660714285714286,0.919242751018452,0.11214953271028037,0.15384615384615385,-0.09186991869918704,-0.03040458937198065,-0.10217391304347827,0.21388888888888888
4,4,0.8883928571428571,0.9316239316239316,0.09345794392523364,0.1282051282051282,0.0725490196078431,0.05361955507304339,0.0028409090909090884,-0.09145191703331237,-0.15708616533314515,0.12119130144505164,0.8883928571428571,0.9316239316239316,0.09345794392523364,0.1282051282051282,0.0725490196078431,0.05361955507304339,0.0028409090909090884,-0.09145191703331237
5,5,0.8616071428571429,0.9452032909976835,0.11214953271028037,0.1623931623931624,-0.06034858387799569,-0.043778849042689805,0.040098199672667756,0.09980744544287548,0.909178826535328,0.0,0.5491071428571429,0.6701014458023804,0.5420560747663551,0.36752136752136755,0.4063180827886711,-0.043778849042689805,0.6170212765957447,-0.9736842105263158
6,6,0.8526785714285714,0.9136512500998483,0.18691588785046728,0.1111111111111111,0.014182161991805886,0.032753606055850315,-0.22504091653027825,0.032378580323785794,0.032547066076616345,0.7061997388695156,0.8526785714285714,0.9136512500998483,0.18691588785046728,0.1111111111111111,0.014182161991805886,0.032753606055850315,-0.22504091653027825,0.032378580323785794
7,7,0.84375,0.9284287882418724,0.11214953271028037,0.19658119658119658,0.013725490196078383,0.026017665130568357,-0.1996927803379416,0.10876623376623376,-0.19478307282503318,0.06272388912580751,0.84375,0.9284287882418724,0.11214953271028037,0.19658119658119658,0.013725490196078383,0.026017665130568357,-0.1996927803379416,0.10876623376623376
8,8,0.8258928571428571,0.8908858535026759,0.14953271028037382,0.19658119658119658,0.09323623524219349,0.0346392496392498,-0.13731060606060605,-0.06476190476190474,0.6399925974414507,0.0,0.7098214285714286,0.7535745666586788,0.3364485981308411,0.24786324786324787,0.21306410680790022,0.0346392496392498,0.375,-0.5047619047619047
9,9,0.8482142857142857,0.9518332135154565,0.1308411214953271,0.17094017094017094,0.09879336349924583,0.0692014359669667,-0.13421052631578947,-0.08313817330210771,0.10991651329476725,0.30512031679456886,0.8482142857142857,0.9518332135154565,0.1308411214953271,0.17094017094017094,0.09879336349924583,0.0692014359669667,-0.13421052631578947,-0.08313817330210771
10,10,0.8660714285714286,0.9292275740873872,0.1588785046728972,0.1111111111111111,0.0008944543828264262,0.01874198562965179,-0.22811059907834103,0.0866089273817455,0.4583940291619206,8.685751899273342e-06,0.84375,0.8937614825465292,0.16822429906542055,0.1452991452991453,0.0720035778175313,0.01874198562965179,0.11136712749615976,-0.17455029980013323
11,11,0.875,0.9463215911814044,0.1308411214953271,0.11965811965811966,0.052790346907994,0.04462688185321961,-0.2248803827751196,0.030312124849939975,-0.23662374897755112,0.03162031904354068,0.875,0.9329818675613067,0.14953271028037382,0.10256410256410256,0.07390648567119162,0.04462688185321961,-0.458133971291866,0.10624249699879953
